****************** SVM3 ******************
5-fraktil morgen: 44.20 procent
Aften: 50.87 procent
5-fraktil aften: 56.95 procent

****************** NN4-UB ******************
Antal minutter:  30

Nøjagtighed egen dataindsamling
Morgen: 53.26 procent
5-fraktil morgen: 47.22 procent
Aften: 58.67 procent
5-fraktil aften: 47.38 procent

Nøjagtighed anden dag
Morgen: 45.66 procent
5-fraktil morgen: 47.21 procent
Aften: 50.26 procent
5-fraktil aften: 47.38 procent

Nøjagtighed andet tidspunkt
Morgen: 47.11 procent
5-fraktil morgen: 47.22 procent
Aften: 49.82 procent
5-fraktil aften: 47.38 procent

****************** NN4-UB ******************
Antal minutter:  15

Nøjagtighed egen dataindsamling
Morgen: 42.43 procent
5-fraktil morgen: 39.55 procent
Aften: 44.86 procent
5-fraktil aften: 36.49 procent

Nøjagtighed anden dag
Morgen: 38.22 procent
5-fraktil morgen: 39.55 procent
Aften: 40.77 procent
5-fraktil aften: 34.82 procent

Nøjagtighed andet tidspunkt
Morgen: 40.22 procent
5-fraktil morgen: 39.55 procent
Aften: 41.05 procent
5-fraktil aften: 34.82 procent

****************** NN4-UB ******************
Antal minutter:  10

Nøjagtighed egen dataindsamling
Morgen: 38.66 procent
5-fraktil morgen: 38.19 procent
Aften: 42.86 procent
5-fraktil aften: 35.04 procent

Nøjagtighed anden dag
Morgen: 35.77 procent
5-fraktil morgen: 38.19 procent
Aften: 39.99 procent
5-fraktil aften: 35.04 procent

Nøjagtighed andet tidspunkt
Morgen: 36.27 procent
5-fraktil morgen: 38.19 procent
Aften: 39.91 procent
5-fraktil aften: 35.04 procent

****************** NN4-UB ******************
Antal minutter:  5

Nøjagtighed egen dataindsamling
Morgen: 30.58 procent
5-fraktil morgen: 35.39 procent
Aften: 41.93 procent
5-fraktil aften: 38.27 procent

Nøjagtighed anden dag
Morgen: 29.04 procent
5-fraktil morgen: 36.30 procent
Aften: 36.62 procent
5-fraktil aften: 38.27 procent

Nøjagtighed andet tidspunkt
Morgen: 28.62 procent
5-fraktil morgen: 35.61 procent
Aften: 38.42 procent
5-fraktil aften: 38.27 procent

