WIFI DATA 
SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -90
Frequency: 5180
Timestamp: 709817826220


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709817541833


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -89
Frequency: 5180
Timestamp: 709817821553


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709820750956


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -80
Frequency: 2412
Timestamp: 709816130291


************** 

Scanning: Kontor

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709824525270


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -60
Frequency: 2432
Timestamp: 709828229585


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -63
Frequency: 2412
Timestamp: 709822464360


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -73
Frequency: 2447
Timestamp: 709823314099


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -85
Frequency: 2462
Timestamp: 709823744396


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -80
Frequency: 2437
Timestamp: 709823093929


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -90
Frequency: 5180
Timestamp: 709824112566


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -64
Frequency: 2462
Timestamp: 709823788207


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -89
Frequency: 5180
Timestamp: 709824110190


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -77
Frequency: 2452
Timestamp: 709823450960


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -84
Frequency: 5560
Timestamp: 709826895681


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -77
Frequency: 2437
Timestamp: 709829424397


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709830679959


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709834066640


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -61
Frequency: 2412
Timestamp: 709828823960


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -74
Frequency: 2447
Timestamp: 709829645377


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -83
Frequency: 5260
Timestamp: 709831622946


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -59
Frequency: 2422
Timestamp: 709829087377


SSID: HomeBox-3AE0_2.4G
BSSID: 44:e9:dd:92:3a:e6
ResultLevel: -78
Frequency: 2437
Timestamp: 709829429286


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -82
Frequency: 2462
Timestamp: 709829918041


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -76
Frequency: 2437
Timestamp: 709829420829


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -89
Frequency: 5180
Timestamp: 709830322652


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709830145945


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -89
Frequency: 5180
Timestamp: 709830319903


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -75
Frequency: 2452
Timestamp: 709829739459


SSID: Flintebakken247
BSSID: 30:93:bc:b9:b9:12
ResultLevel: -80
Frequency: 2462
Timestamp: 709829984614


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -84
Frequency: 5560
Timestamp: 709832936575


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -81
Frequency: 2412
Timestamp: 709828687284


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -77
Frequency: 2437
Timestamp: 709835427300


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709836898438


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709840824598


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -59
Frequency: 2412
Timestamp: 709834837730


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -71
Frequency: 2447
Timestamp: 709835797053


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -82
Frequency: 5260
Timestamp: 709837972239


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -59
Frequency: 2422
Timestamp: 709834822434


SSID: HomeBox-3AE0_2.4G
BSSID: 44:e9:dd:92:3a:e6
ResultLevel: -81
Frequency: 2437
Timestamp: 709835412513


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -91
Frequency: 5280
Timestamp: 709838105116


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -79
Frequency: 2437
Timestamp: 709835460394


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -87
Frequency: 5180
Timestamp: 709836488183


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -62
Frequency: 2462
Timestamp: 709836188335


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -88
Frequency: 5180
Timestamp: 709836487772


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -73
Frequency: 2452
Timestamp: 709835955974


SSID: CableBox-FD80_1
BSSID: 08:3e:5d:48:fd:86
ResultLevel: -86
Frequency: 2422
Timestamp: 709835033556


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -79
Frequency: 2412
Timestamp: 709834745101


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -79
Frequency: 2437
Timestamp: 709841939623


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709843247649


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -58
Frequency: 2432
Timestamp: 709846457549


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -62
Frequency: 2412
Timestamp: 709841102329


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -64
Frequency: 2447
Timestamp: 709842227282


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -83
Frequency: 5260
Timestamp: 709844218885


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -85
Frequency: 2462
Timestamp: 709842592994


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 709842940811


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709842745263


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -88
Frequency: 5180
Timestamp: 709842940157


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709845518919


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -78
Frequency: 2412
Timestamp: 709841109024


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -77
Frequency: 2437
Timestamp: 709848016865


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -75
Frequency: 5240
Timestamp: 709849472959


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709853010536


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -61
Frequency: 2412
Timestamp: 709847242794


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -71
Frequency: 2447
Timestamp: 709848363234


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -91
Frequency: 5280
Timestamp: 709850688511


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -82
Frequency: 5260
Timestamp: 709850466720


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -59
Frequency: 2422
Timestamp: 709847724562


SSID: HomeBox-3AE0_2.4G
BSSID: 44:e9:dd:92:3a:e6
ResultLevel: -76
Frequency: 2437
Timestamp: 709848032985


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -83
Frequency: 2462
Timestamp: 709848742171


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -78
Frequency: 2437
Timestamp: 709848055063


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -90
Frequency: 5180
Timestamp: 709849136471


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709848877181


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -89
Frequency: 5180
Timestamp: 709849135829


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -64
Frequency: 2452
Timestamp: 709848472734


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709851784317


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -80
Frequency: 2412
Timestamp: 709847259017


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -75
Frequency: 2437
Timestamp: 709854273178


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709855753538


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709859667681


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -63
Frequency: 2412
Timestamp: 709853460704


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -71
Frequency: 2447
Timestamp: 709854514848


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -81
Frequency: 5260
Timestamp: 709856814157


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -62
Frequency: 2422
Timestamp: 709853765947


SSID: HomeBox-3AE0_2.4G
BSSID: 44:e9:dd:92:3a:e6
ResultLevel: -81
Frequency: 2437
Timestamp: 709854282770


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -78
Frequency: 2437
Timestamp: 709854306165


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -87
Frequency: 5180
Timestamp: 709855298173


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -61
Frequency: 2462
Timestamp: 709855030160


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -87
Frequency: 5180
Timestamp: 709855298529


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -74
Frequency: 2452
Timestamp: 709854598465


SSID: Flintebakken247
BSSID: 30:93:bc:b9:b9:12
ResultLevel: -81
Frequency: 2462
Timestamp: 709854936619


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709858134549


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -80
Frequency: 2412
Timestamp: 709853476028


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -75
Frequency: 2437
Timestamp: 709860573334


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709862143876


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709866015871


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -62
Frequency: 2412
Timestamp: 709859958137


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -72
Frequency: 2447
Timestamp: 709860846296


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -83
Frequency: 5260
Timestamp: 709863164444


SSID: HomeBox-3AE0_2.4G
BSSID: 44:e9:dd:92:3a:e6
ResultLevel: -77
Frequency: 2437
Timestamp: 709860569590


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -73
Frequency: 5240
Timestamp: 709862124757


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 709861690873


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -61
Frequency: 2462
Timestamp: 709861441439


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -87
Frequency: 5180
Timestamp: 709861690200


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -84
Frequency: 5560
Timestamp: 709864558538


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -78
Frequency: 2412
Timestamp: 709859941668


SSID: WiFimodem-7077
BSSID: 44:ad:b1:2c:70:7c
ResultLevel: -83
Frequency: 2412
Timestamp: 709859952845


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -76
Frequency: 2437
Timestamp: 709867072143


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709868555041


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709872672334


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -62
Frequency: 2412
Timestamp: 709866291942


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -71
Frequency: 2447
Timestamp: 709867429501


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -82
Frequency: 5260
Timestamp: 709869716335


SSID: HomeBox-3AE0_2.4G
BSSID: 44:e9:dd:92:3a:e6
ResultLevel: -78
Frequency: 2437
Timestamp: 709867083894


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -79
Frequency: 2462
Timestamp: 709867789773


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -82
Frequency: 2437
Timestamp: 709867101864


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 709868242704


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709867818692


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -87
Frequency: 5180
Timestamp: 709868241279


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -79
Frequency: 2412
Timestamp: 709866295509


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -77
Frequency: 2437
Timestamp: 709873664983


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -73
Frequency: 5240
Timestamp: 709875063891


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -60
Frequency: 2432
Timestamp: 709878918638


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -63
Frequency: 2412
Timestamp: 709872938703


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -72
Frequency: 2447
Timestamp: 709873969353


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -62
Frequency: 2422
Timestamp: 709873119443


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -77
Frequency: 2437
Timestamp: 709873623004


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 709874772735


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709874292669


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -88
Frequency: 5180
Timestamp: 709874771081


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709877568005


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -79
Frequency: 2412
Timestamp: 709872911454


************** 

Scanning: Kontor

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709881457227


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709885165273


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -63
Frequency: 2412
Timestamp: 709879398864


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -71
Frequency: 2447
Timestamp: 709880418846


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -82
Frequency: 5260
Timestamp: 709882415669


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -80
Frequency: 2462
Timestamp: 709880713252


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -79
Frequency: 2437
Timestamp: 709880018066


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -89
Frequency: 5180
Timestamp: 709881153131


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709880721268


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -87
Frequency: 5180
Timestamp: 709881152678


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -84
Frequency: 5560
Timestamp: 709883816035


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -78
Frequency: 2412
Timestamp: 709879361531


************** 

Scanning: Kontor

SSID: CableBox-0936
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -77
Frequency: 2437
Timestamp: 709886275784


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709887691496


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709891206173


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -69
Frequency: 2447
Timestamp: 709886477333


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -79
Frequency: 2412
Timestamp: 709885631184


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -83
Frequency: 5260
Timestamp: 709888557846


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -77
Frequency: 2462
Timestamp: 709886822985


SSID: WifiD0A0
BSSID: b0:bb:e5:ff:d0:a6
ResultLevel: -77
Frequency: 2437
Timestamp: 709886251483


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 709887352852


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -63
Frequency: 2462
Timestamp: 709886861038


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -88
Frequency: 5180
Timestamp: 709887351287


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -74
Frequency: 2452
Timestamp: 709886544464


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709889953785


SSID: CableBox-FD80_1
BSSID: 08:3e:5d:48:fd:86
ResultLevel: -84
Frequency: 2422
Timestamp: 709885833694


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -78
Frequency: 2412
Timestamp: 709885625543


************** 

Scanning: Kontor

SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -74
Frequency: 5240
Timestamp: 709893643056


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -60
Frequency: 2432
Timestamp: 709897248219


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -62
Frequency: 2412
Timestamp: 709891572657


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -71
Frequency: 2447
Timestamp: 709892397871


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -82
Frequency: 5260
Timestamp: 709894599753


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 709893186323


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -62
Frequency: 2462
Timestamp: 709892914681


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:61
ResultLevel: -88
Frequency: 5180
Timestamp: 709893185771


SSID: PrettyFlyforaWiFi_2.4
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -79
Frequency: 2452
Timestamp: 709892492788


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -83
Frequency: 5560
Timestamp: 709895997027


SSID: Telenor4233nok
BSSID: 98:77:e7:f0:8d:4c
ResultLevel: -81
Frequency: 2412
Timestamp: 709891564411


************** 

Scanning: Kontor

SSID: 
BSSID: a4:08:f5:1f:09:3b
ResultLevel: -77
Frequency: 2437
Timestamp: 709898434767


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -73
Frequency: 5240
Timestamp: 709899864942


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -59
Frequency: 2432
Timestamp: 709903699737


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -62
Frequency: 2412
Timestamp: 709897992280


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -70
Frequency: 2447
Timestamp: 709898729012


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -83
Frequency: 5260
Timestamp: 709900826052


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -62
